variable	mean	median	sd	mad	q5	q95	rhat	ess_bulk	ess_tail	hap	q2.5	q97.5
growth_rate[49]	0.96220390675	0.962299	0.006884951226732	0.0068911248	0.9508359	0.97344905	1.00442592740316	952.107535948023	2509.02642945084	hap_temp_636	0.9487219	0.97527865
growth_rate[63]	0.961362087125	0.9613655	0.008159201558703	0.0081735738	0.9479829	0.97465685	1.00295696457876	1255.42925295978	3593.13653155115	hap_temp_2047	0.945326925	0.977159025
growth_rate[196]	0.959954613125	0.9603785	0.015081562351049	0.0146095404	0.93395485	0.98410975	1.00112288469904	2318.76238242231	4808.14836490886	hap_temp_400	0.928614425	0.98846735
growth_rate[23]	0.959890125625	0.959924	0.005729335159708	0.0057465576	0.95049675	0.96927005	1.00506371860613	737.833749363103	2009.62993443348	hap_temp_2003	0.9488167	0.97103675
growth_rate[30]	0.95944673575	0.9594355	0.005886560183526	0.0058236528	0.9499286	0.96924305	1.00488573654291	761.832351597529	2093.60142352853	hap_temp_154	0.948065925	0.97097445
growth_rate[93]	0.958592852625	0.958694	0.009491429577984	0.0095509092	0.9427509	0.97377285	1.00123075104427	1375.2943740619	3371.28755516727	hap_temp_91	0.939567375	0.9765643
growth_rate[86]	0.957756031375	0.957831	0.009345303220103	0.0091898961	0.94222595	0.9730693	1.00412897691874	1395.17067168383	3362.10043138984	hap_temp_405	0.9389269	0.9758176
growth_rate[100]	0.957741259125	0.957738	0.00978973890788	0.0099623307	0.94157255	0.9737013	1.00256125991003	1496.50848550276	4025.58602816099	hap_temp_627	0.93842165	0.976768025
growth_rate[20]	0.954104136375	0.9541475	0.005173599212456	0.0050882832	0.94549965	0.96251315	1.00707191065852	591.825223691008	1587.50673270191	hap_temp_183	0.943805975	0.9642741
growth_rate[74]	0.951987263125	0.9519155	0.008850513858307	0.0087925593	0.93739695	0.9665495	1.00239688653707	1472.35423001649	3744.6857067995	hap_temp_1990	0.934361575	0.969191725
growth_rate[55]	0.95183946825	0.951699	0.007828474682304	0.0078896559	0.9392618	0.96474205	1.00348252856033	1252.41450144815	2762.05855890572	hap_temp_103	0.936511825	0.967467725
growth_rate[46]	0.950400364625	0.950416	0.007204339706559	0.0071098083	0.93850985	0.96210705	1.00332132331882	971.653764930485	2869.41649460303	hap_temp_544	0.936342575	0.964751675
growth_rate[59]	0.94980080975	0.949876	0.008242380020152	0.0082751319	0.93588535	0.96316525	1.00198420789077	1337.57306695561	3313.96453986865	hap_temp_197	0.933176925	0.9653707
growth_rate[84]	0.9488082895	0.948835	0.009049752045399	0.0090475665	0.9336748	0.96363735	1.00078761800801	1681.07786229198	3527.98411853288	hap_temp_1924	0.930671775	0.9663994
growth_rate[163]	0.94739356925	0.947636	0.015633023762782	0.0154034727	0.92085795	0.9722701	1.00054540566099	4423.05230550355	5088.7407448251	hap_temp_2303	0.916146975	0.97689315
growth_rate[135]	0.946855625125	0.9469345	0.012412426969584	0.0124353075	0.9260643	0.9668996	1.00146051184044	2719.04070266728	4925.77031328896	hap_temp_2028	0.922273225	0.970626375
growth_rate[61]	0.939661229375	0.939719	0.008812333878977	0.0089986407	0.92491495	0.9539281	1.00218669558652	1522.46990662609	4499.9018710407	hap_temp_2601	0.92215895	0.956544025
growth_rate[79]	0.934405301125	0.9343455	0.009600682810353	0.0095360832	0.91871915	0.9500255	1.00186843032481	1946.88781104087	3847.09766023696	hap_temp_118	0.915221175	0.95307335
growth_rate[34]	0.930955932	0.9309235	0.006677154653118	0.0066590979	0.9199327	0.94215505	1.00341672689581	1030.9359270718	2761.56257601832	hap_temp_231	0.917717475	0.9441467
growth_rate[122]	0.912409150375	0.912455	0.013695167732531	0.0134390277	0.88958555	0.93483705	1.00087125836791	2968.376111513	5543.98323382537	hap_temp_1846	0.884570125	0.939048225
